 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
F1,1.567E+04,3.977E-03,2.466E+05,1.252E+05,1.202E-01,1.959E+05,1.201E+05,5.818E+06,9.691E+05,1.209E-01
 ,(9.141E+03)$-$,(5.433E-04)$+$,(1.094E+05)$-$,(8.276E+04)$-$,(1.771E-01)$\approx$,(6.112E+04)$-$,(6.952E+04)$-$,(1.077E+06)$-$,(2.990E+05)$-$,(9.925E-02)
F2,5.381E-13,1.828E-09,2.084E-13,4.180E-10,1.991E-09,2.002E-12,2.417E-10,1.343E+02,1.898E+03,2.554E-12
 ,(4.416E-13)$\approx$,(3.213E-09)$-$,(1.193E-13)$+$,(1.226E-09)$-$,(3.114E-09)$-$,(1.015E-11)$+$,(4.096E-10)$-$,(7.603E+01)$-$,(2.767E+03)$-$,(4.839E-12)
F3,3.790E-13,8.522E-09,6.584E+02,1.763E+02,1.200E-08,3.070E-03,2.772E+00,1.590E+00,1.099E+01,1.016E-10
 ,(1.027E-13)$+$,(1.289E-08)$-$,(9.622E+02)$-$,(1.619E+02)$-$,(2.340E-08)$-$,(1.088E-02)$-$,(4.667E+00)$-$,(1.336E+00)$-$,(1.055E+01)$-$,(6.025E-11)
F4,1.765E+02,1.639E+02,6.245E+01,8.381E+01,5.392E+01,1.031E+02,2.106E+01,1.710E+02,1.726E+02,4.854E+01
 ,(3.059E+01)$-$,(3.071E+01)$-$,(3.144E+01)$\approx$,(5.081E+01)$-$,(6.836E+01)$\approx$,(4.127E+01)$-$,(4.615E+01)$\approx$,(4.113E+01)$-$,(3.293E+01)$-$,(6.632E+01)
F5,2.056E+01,2.000E+01,2.078E+01,2.000E+01,2.000E+01,2.004E+01,2.078E+01,2.054E+01,2.048E+01,2.000E+01
 ,(4.743E-02)$-$,(1.070E-04)$+$,(4.224E-02)$-$,(4.158E-03)$-$,(1.036E-04)$\approx$,(2.611E-02)$-$,(2.306E-01)$-$,(5.632E-02)$-$,(2.659E-01)$-$,(5.411E-05)
F6,3.567E-01,9.055E+00,5.495E+01,2.141E+01,1.637E+00,2.636E+01,3.690E+01,1.056E+01,5.788E+01,6.148E+00
 ,(4.910E-01)$+$,(2.671E+00)$-$,(7.274E+00)$-$,(9.510E+00)$-$,(9.162E-01)$+$,(2.999E+00)$-$,(4.760E+00)$-$,(2.435E+00)$-$,(1.598E+01)$-$,(2.007E+00)
F7,2.122E-13,3.070E-13,1.888E-03,5.751E-04,9.737E-09,1.151E-03,1.968E-03,7.511E-12,2.873E-03,1.781E-13
 ,(3.931E-14)$\approx$,(9.512E-14)$-$,(4.866E-03)$-$,(2.212E-03)$\approx$,(3.141E-08)$-$,(3.019E-03)$-$,(5.825E-03)$-$,(5.738E-12)$-$,(6.720E-03)$-$,(5.730E-14)
F8,3.526E-03,6.124E-12,2.322E-01,1.099E-13,3.880E+00,2.274E-13,0.000E+00,1.726E+01,2.867E+01,3.897E+01
 ,(2.388E-03)$+$,(2.183E-12)$+$,(5.015E-01)$+$,(2.076E-14)$+$,(1.149E+00)$+$,(0.000E+00)$+$,(0.000E+00)$+$,(4.067E+00)$+$,(2.506E+01)$+$,(8.188E+00)
F9,5.612E+01,2.560E+01,1.801E+02,1.427E+02,2.653E+00,9.764E+01,1.723E+02,1.249E+02,9.873E+01,7.058E+01
 ,(1.097E+01)$+$,(4.923E+00)$+$,(2.890E+01)$-$,(1.470E+01)$-$,(1.659E+00)$+$,(1.326E+01)$-$,(3.085E+01)$-$,(2.163E+01)$-$,(3.002E+01)$-$,(1.463E+01)
F10,1.968E+01,8.529E+01,5.066E+00,8.450E-01,6.192E+02,4.123E+01,7.874E-01,2.497E+02,3.927E+01,1.669E+03
 ,(4.315E+00)$+$,(1.359E+02)$+$,(2.553E+00)$+$,(8.016E-01)$+$,(3.222E+02)$+$,(3.593E+00)$+$,(2.636E-01)$+$,(1.160E+02)$+$,(2.290E+01)$+$,(4.281E+02)
F11,1.053E+04,1.162E+04,1.229E+04,9.304E+03,2.066E+03,1.076E+04,1.063E+04,1.308E+04,1.221E+04,6.167E+03
 ,(5.208E+02)$-$,(8.615E+02)$-$,(1.464E+03)$-$,(1.172E+03)$-$,(3.655E+02)$+$,(1.626E+03)$-$,(1.050E+03)$-$,(1.853E+03)$-$,(1.328E+03)$-$,(1.113E+03)
F12,4.361E-01,2.515E-01,1.092E+00,8.752E-02,1.662E-02,1.514E-01,8.641E-01,7.339E-01,2.882E-01,1.322E-02
 ,(4.035E-02)$-$,(1.143E-01)$-$,(6.026E-01)$-$,(3.132E-02)$-$,(1.553E-02)$\approx$,(3.683E-02)$-$,(6.123E-01)$-$,(9.634E-02)$-$,(2.023E-01)$-$,(1.044E-02)
F13,3.225E-01,1.963E-01,3.942E-01,3.159E-01,8.783E-02,2.923E-01,3.838E-01,3.517E-01,2.860E-01,2.384E-01
 ,(2.239E-02)$-$,(4.381E-02)$+$,(4.715E-02)$-$,(3.328E-02)$-$,(1.547E-02)$+$,(3.354E-02)$-$,(3.941E-02)$-$,(3.270E-02)$-$,(5.836E-02)$-$,(3.486E-02)
F14,1.704E-01,3.251E-01,3.180E-01,2.346E-01,3.713E-01,3.144E-01,2.758E-01,2.960E-01,2.323E-01,2.680E-01
 ,(1.113E-02)$+$,(1.767E-02)$-$,(3.466E-02)$-$,(2.418E-02)$+$,(3.025E-02)$-$,(2.394E-02)$-$,(2.507E-02)$\approx$,(1.636E-02)$-$,(2.342E-02)$+$,(1.764E-02)
F15,1.640E+01,1.256E+01,1.726E+01,1.960E+01,1.193E+01,1.478E+01,2.097E+01,3.114E+01,1.191E+01,1.124E+01
 ,(1.122E+00)$-$,(1.143E+00)$-$,(2.798E+00)$-$,(3.251E+00)$-$,(1.813E+00)$\approx$,(4.561E+00)$-$,(3.128E+00)$-$,(5.603E+00)$-$,(1.510E+00)$\approx$,(1.432E+00)
F16,3.877E+01,4.166E+01,4.102E+01,3.919E+01,4.115E+01,4.082E+01,4.021E+01,4.163E+01,4.248E+01,3.780E+01
 ,(6.385E-01)$-$,(1.188E+00)$-$,(6.775E-01)$-$,(2.085E+00)$-$,(1.128E+00)$-$,(1.829E+00)$-$,(7.755E-01)$-$,(7.186E-01)$-$,(1.183E+00)$-$,(9.214E-01)
F17,2.075E+03,4.314E+03,3.794E+04,1.306E+04,1.527E+03,1.651E+04,8.652E+03,4.283E+04,9.248E+03,4.865E+03
 ,(4.706E+02)$+$,(6.258E+02)$+$,(2.599E+04)$-$,(9.489E+03)$-$,(2.163E+03)$+$,(5.873E+03)$-$,(2.869E+03)$-$,(1.888E+04)$-$,(4.146E+03)$-$,(7.468E+02)
F18,8.995E+01,2.231E+02,4.509E+02,5.979E+02,1.659E+00,4.150E+02,3.577E+02,2.729E+02,2.530E+02,1.874E+02
 ,(1.846E+01)$+$,(1.078E+01)$-$,(2.925E+02)$-$,(4.762E+02)$-$,(9.665E-01)$+$,(2.075E+02)$-$,(1.125E+02)$-$,(1.644E+02)$-$,(2.943E+01)$-$,(4.158E+01)
F19,8.887E+01,9.674E+01,2.465E+01,9.526E+01,7.127E+01,9.625E+01,2.969E+01,9.248E+01,9.158E+01,7.332E+01
 ,(1.448E+00)$-$,(2.347E+00)$-$,(4.867E+00)$+$,(2.275E+01)$-$,(2.287E+01)$\approx$,(4.854E+00)$-$,(1.224E+01)$+$,(2.764E+00)$-$,(1.570E+00)$-$,(2.361E+01)
F20,2.064E+01,1.385E+02,6.066E+02,1.688E+03,3.579E+02,5.433E+02,3.178E+02,2.057E+02,3.384E+02,3.408E+02
 ,(4.247E+00)$+$,(4.728E+01)$+$,(2.640E+02)$-$,(1.848E+03)$-$,(2.102E+02)$-$,(1.362E+02)$-$,(1.644E+02)$\approx$,(4.135E+01)$+$,(9.327E+01)$\approx$,(7.599E+01)
F21,5.848E+02,1.900E+03,6.911E+03,3.855E+03,3.199E+03,3.851E+03,5.375E+03,4.312E+03,1.723E+03,2.744E+03
 ,(2.342E+02)$+$,(5.520E+02)$+$,(5.869E+03)$-$,(1.464E+03)$-$,(6.708E+02)$-$,(1.095E+03)$-$,(8.583E+03)$-$,(1.570E+03)$-$,(4.510E+02)$+$,(5.709E+02)
F22,1.078E+03,1.048E+03,2.035E+03,1.399E+03,6.487E+02,1.373E+03,1.341E+03,1.243E+03,1.512E+03,2.991E+02
 ,(1.831E+02)$-$,(2.899E+02)$-$,(4.194E+02)$-$,(3.246E+02)$-$,(4.000E+02)$-$,(4.612E+02)$-$,(3.047E+02)$-$,(2.224E+02)$-$,(4.526E+02)$-$,(1.586E+02)
F23,2.000E+02,2.000E+02,3.450E+02,3.482E+02,3.483E+02,3.482E+02,3.450E+02,3.482E+02,3.482E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(4.264E-13)$-$,(8.444E-14)$-$,(3.827E-03)$-$,(2.828E-13)$-$,(4.679E-12)$-$,(3.947E-08)$-$,(3.839E-12)$-$,(0.000E+00)
F24,2.000E+02,2.000E+02,3.978E+02,3.993E+02,3.754E+02,3.891E+02,3.907E+02,3.568E+02,3.788E+02,2.000E+02
 ,(4.825E-11)$\approx$,(1.059E-11)$\approx$,(4.726E+00)$-$,(6.032E+00)$-$,(2.719E+00)$-$,(3.453E+00)$-$,(5.090E+00)$-$,(1.075E+00)$-$,(2.791E+00)$-$,(3.019E-10)
F25,2.000E+02,2.000E+02,2.201E+02,2.716E+02,2.014E+02,2.410E+02,2.344E+02,2.000E+02,2.261E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(2.352E+01)$-$,(6.217E+00)$-$,(2.903E+00)$-$,(1.709E+01)$-$,(2.381E+01)$-$,(2.850E-04)$\approx$,(1.036E+01)$-$,(0.000E+00)
F26,2.000E+02,2.000E+02,1.536E+02,2.001E+02,2.000E+02,2.001E+02,2.001E+02,2.001E+02,1.568E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(5.055E+01)$\approx$,(4.545E-03)$-$,(3.864E-02)$-$,(3.599E-02)$-$,(2.368E-02)$-$,(1.515E-02)$-$,(5.028E+01)$\approx$,(0.000E+00)
F27,2.067E+02,2.000E+02,1.964E+03,1.031E+03,3.000E+02,6.903E+02,1.043E+03,3.659E+02,6.705E+02,2.033E+02
 ,(2.542E+01)$\approx$,(0.000E+00)$\approx$,(2.579E+02)$-$,(1.166E+02)$-$,(1.855E-05)$-$,(7.429E+01)$-$,(8.572E+01)$-$,(2.237E+01)$-$,(7.572E+01)$-$,(1.826E+01)
F28,2.000E+02,2.000E+02,5.253E+02,2.192E+03,2.347E+03,2.175E+03,6.546E+02,2.249E+03,2.273E+03,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(5.214E+01)$-$,(1.824E+02)$-$,(2.696E+02)$-$,(1.084E+02)$-$,(8.904E+01)$-$,(5.373E+01)$-$,(5.619E+01)$-$,(0.000E+00)
F29,2.000E+02,8.701E+02,2.497E+02,1.311E+03,7.304E+02,9.949E+02,2.501E+02,1.863E+03,1.098E+03,2.000E+02
 ,(0.000E+00)$\approx$,(1.093E+02)$-$,(5.733E+00)$-$,(1.732E+02)$-$,(5.883E+01)$-$,(2.210E+02)$-$,(4.787E+00)$-$,(1.142E+02)$-$,(1.861E+02)$-$,(0.000E+00)
F30,2.000E+02,7.927E+03,2.517E+03,8.681E+03,6.138E+03,7.738E+03,2.585E+03,6.309E+03,3.796E+03,2.000E+02
 ,(0.000E+00)$\approx$,(9.336E+02)$-$,(4.646E+02)$-$,(1.435E+03)$-$,(1.562E+03)$-$,(1.121E+03)$-$,(5.129E+02)$-$,(5.514E+02)$-$,(7.949E+02)$-$,(0.000E+00)
$-$,10,15,24,26,16,27,24,26,23, 
