 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
F17,3.335E+02,1.108E+03,1.962E+03,2.396E+03,1.596E+03,2.036E+03,7.458E+03,1.160E+03,9.095E+02,1.603E+03
 ,(1.397E+02)$+$,(3.853E+02)$+$,(5.862E+02)$-$,(6.505E+02)$-$,(1.330E+03)$\approx$,(3.949E+02)$-$,(1.588E+04)$-$,(3.665E+02)$+$,(3.767E+02)$+$,(3.961E+02)
F18,1.841E+01,7.297E+01,1.399E+02,1.822E+02,8.301E-01,1.247E+02,1.398E+02,3.684E+01,3.141E+01,2.190E+01
 ,(4.616E+00)$+$,(1.920E+01)$-$,(5.867E+01)$-$,(5.271E+01)$-$,(6.565E-01)$+$,(2.795E+01)$-$,(7.957E+01)$-$,(9.040E+00)$-$,(1.059E+01)$-$,(6.292E+00)
F19,9.908E+00,8.331E+00,1.161E+01,7.553E+00,7.145E+00,5.934E+00,2.269E+01,9.973E+00,1.006E+01,5.902E+00
 ,(6.301E-01)$-$,(2.190E+00)$-$,(3.087E+00)$-$,(2.748E+00)$-$,(9.264E-01)$-$,(6.735E-01)$\approx$,(2.240E+01)$-$,(4.701E-01)$-$,(6.840E-01)$-$,(8.251E-01)
F20,5.664E+00,1.402E+01,6.228E+01,5.226E+02,2.267E+00,6.536E+01,5.903E+01,2.601E+01,3.219E+01,8.656E+01
 ,(1.469E+00)$+$,(4.798E+00)$+$,(3.807E+01)$+$,(3.607E+02)$-$,(5.798E-01)$+$,(2.404E+01)$+$,(4.815E+01)$+$,(6.282E+00)$+$,(1.138E+01)$+$,(3.128E+01)
F21,3.522E+02,4.819E+02,7.776E+02,1.903E+04,1.378E+03,8.932E+02,2.813E+03,4.735E+02,4.859E+02,1.013E+03
 ,(1.082E+02)$+$,(1.273E+02)$+$,(2.254E+02)$+$,(7.486E+04)$-$,(5.512E+02)$-$,(3.198E+02)$\approx$,(5.240E+03)$-$,(1.315E+02)$+$,(1.579E+02)$+$,(2.690E+02)
F22,1.098E+02,1.512E+02,5.573E+02,4.618E+02,1.606E+02,5.710E+02,3.851E+02,2.822E+02,4.022E+02,1.704E+02
 ,(7.371E+01)$\approx$,(8.327E+01)$\approx$,(1.919E+02)$-$,(1.734E+02)$-$,(5.624E+01)$\approx$,(2.376E+02)$-$,(1.607E+02)$-$,(1.220E+02)$-$,(2.490E+02)$-$,(7.905E+01)
F23,2.000E+02,2.000E+02,3.370E+02,3.440E+02,3.440E+02,3.440E+02,3.370E+02,3.440E+02,3.440E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$-$,(3.156E-13)$-$,(2.192E-05)$-$,(1.734E-13)$-$,(6.443E-13)$-$,(2.598E-13)$-$,(2.891E-13)$-$,(0.000E+00)
F24,2.000E+02,2.000E+02,2.774E+02,2.737E+02,2.686E+02,2.732E+02,2.728E+02,2.579E+02,2.708E+02,2.000E+02
 ,(3.929E-09)$\approx$,(1.154E-13)$\approx$,(1.453E+00)$-$,(2.669E+00)$-$,(1.721E+00)$-$,(1.712E+00)$-$,(2.935E+00)$-$,(1.884E+00)$-$,(2.561E+00)$-$,(2.117E-10)
F25,2.000E+02,2.000E+02,2.003E+02,2.163E+02,2.159E+02,2.070E+02,2.184E+02,2.065E+02,2.060E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(2.549E-02)$-$,(6.935E+00)$-$,(3.229E+00)$-$,(3.437E+00)$-$,(9.367E+00)$-$,(1.033E+00)$-$,(5.869E-01)$-$,(0.000E+00)
F26,1.002E+02,1.001E+02,1.003E+02,1.036E+02,1.183E+02,1.002E+02,1.402E+02,1.003E+02,1.002E+02,1.036E+02
 ,(1.996E-02)$+$,(3.587E-02)$+$,(2.991E-02)$+$,(1.821E+01)$\approx$,(3.261E+01)$-$,(3.361E-02)$+$,(4.967E+01)$-$,(2.952E-02)$\approx$,(8.257E-02)$\approx$,(1.821E+01)
F27,2.033E+02,2.000E+02,8.679E+02,4.407E+02,3.000E+02,3.498E+02,4.177E+02,3.090E+02,3.841E+02,2.033E+02
 ,(1.826E+01)$\approx$,(0.000E+00)$\approx$,(2.358E+02)$-$,(5.567E+01)$-$,(2.167E-03)$-$,(3.182E+01)$-$,(9.408E+01)$-$,(1.825E+01)$-$,(5.297E+01)$-$,(1.826E+01)
F28,2.000E+02,2.000E+02,3.662E+02,1.089E+03,1.226E+03,1.106E+03,3.741E+02,1.144E+03,1.140E+03,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(3.082E+00)$-$,(4.562E+01)$-$,(7.565E+01)$-$,(3.877E+01)$-$,(6.810E+00)$-$,(3.563E+01)$-$,(4.267E+01)$-$,(0.000E+00)
F29,2.000E+02,7.977E+02,2.077E+02,8.908E+02,4.890E+02,8.120E+02,2.253E+02,5.890E+02,7.630E+02,2.000E+02
 ,(0.000E+00)$\approx$,(2.950E+01)$-$,(2.017E+00)$-$,(6.270E+01)$-$,(3.018E+01)$-$,(3.958E+01)$-$,(3.055E+00)$-$,(1.112E+02)$-$,(6.117E+01)$-$,(0.000E+00)
F30,2.000E+02,8.838E+03,8.742E+02,9.710E+03,8.768E+03,8.896E+03,9.310E+02,8.539E+03,8.999E+03,2.000E+02
 ,(0.000E+00)$\approx$,(5.284E+02)$-$,(2.107E+02)$-$,(7.522E+02)$-$,(3.676E+02)$-$,(5.571E+02)$-$,(1.698E+02)$-$,(4.006E+02)$-$,(5.673E+02)$-$,(0.000E+00)
$-$,11,14,24,24,17,22,25,22,24, 
$+$,10,9,5,3,7,4,4,6,5, 
$\approx$,9,7,1,3,6,4,1,2,1, 
