 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
F12,4.004E+02,8.338E+02,9.806E+02,1.109E+03,1.279E+01,1.144E+03,2.609E+03,1.342E+03,4.920E+02,9.080E+02
 ,(2.218E+02)$+$,(3.660E+02)$\approx$,(3.163E+02)$\approx$,(4.253E+02)$\approx$,(5.432E+01)$+$,(2.673E+02)$-$,(5.206E+03)$-$,(1.323E+03)$\approx$,(2.284E+02)$+$,(4.222E+02)
F13,1.554E+01,1.559E+01,2.073E+01,3.629E+01,2.994E+01,2.130E+01,1.754E+02,2.061E+01,1.633E+01,2.197E+01
 ,(6.276E+00)$+$,(7.030E+00)$+$,(7.788E+00)$\approx$,(1.407E+01)$-$,(1.665E+01)$\approx$,(7.335E+00)$\approx$,(6.135E+02)$-$,(7.349E+00)$\approx$,(8.074E+00)$+$,(7.228E+00)
F14,2.273E+01,2.256E+01,2.544E+01,1.230E+03,1.139E+01,2.976E+01,2.862E+01,2.090E+01,2.049E+01,4.324E+01
 ,(1.066E+00)$+$,(1.425E+00)$+$,(2.396E+00)$+$,(2.441E+03)$\approx$,(1.011E+01)$+$,(5.720E+00)$+$,(9.325E+00)$\approx$,(9.585E+00)$+$,(1.002E+01)$+$,(2.566E+01)
F15,2.638E+00,4.037E+00,9.294E+00,1.117E+03,5.329E+00,7.911E+00,1.449E+01,6.056E+00,4.846E+00,2.959E+00
 ,(1.318E+00)$\approx$,(1.793E+00)$-$,(2.940E+00)$-$,(3.082E+03)$-$,(2.920E+00)$-$,(4.976E+00)$-$,(1.119E+01)$-$,(2.991E+00)$-$,(1.873E+00)$-$,(1.592E+00)
F16,3.428E+01,5.368E+01,4.253E+02,2.464E+02,2.638E+02,5.874E+02,3.735E+02,2.329E+02,2.655E+02,8.593E+01
 ,(3.114E+01)$\approx$,(6.389E+01)$+$,(1.645E+02)$-$,(1.575E+02)$-$,(2.033E+02)$-$,(2.510E+02)$-$,(2.114E+02)$-$,(1.319E+02)$-$,(2.489E+02)$-$,(1.318E+02)
F17,2.576E+01,4.155E+01,7.902E+01,4.042E+01,5.580E+01,8.209E+01,5.962E+01,3.008E+01,6.042E+01,3.819E+01
 ,(5.643E+00)$\approx$,(9.161E+00)$-$,(4.747E+01)$-$,(3.005E+01)$-$,(9.446E+01)$\approx$,(8.562E+01)$-$,(1.520E+01)$-$,(1.084E+01)$\approx$,(3.751E+01)$-$,(4.258E+01)
F18,2.104E+01,2.169E+01,2.336E+01,1.607E+04,1.956E+01,2.571E+01,1.791E+02,2.469E+01,2.307E+01,5.895E+01
 ,(8.563E-01)$+$,(1.092E+00)$+$,(4.643E+00)$+$,(2.493E+04)$-$,(5.280E+00)$+$,(2.525E+00)$+$,(7.636E+02)$\approx$,(4.075E+00)$+$,(5.644E+00)$+$,(4.071E+01)
F19,5.409E+00,7.531E+00,7.414E+00,2.961E+02,3.625E+00,6.359E+00,1.372E+01,6.164E+00,5.723E+00,7.818E+00
 ,(1.513E+00)$+$,(2.089E+00)$\approx$,(2.700E+00)$\approx$,(7.192E+02)$-$,(1.229E+00)$+$,(1.972E+00)$+$,(2.636E+00)$-$,(1.806E+00)$+$,(1.299E+00)$+$,(1.644E+00)
F20,2.977E+01,4.671E+01,8.695E+01,5.056E+01,1.456E+02,1.450E+02,9.660E+01,2.624E+01,7.588E+01,1.246E+02
 ,(3.949E+00)$+$,(1.787E+01)$+$,(5.236E+01)$+$,(5.831E+01)$+$,(3.133E+01)$-$,(1.063E+02)$\approx$,(5.476E+01)$\approx$,(1.262E+01)$+$,(7.730E+01)$+$,(3.878E+01)
F21,2.124E+02,1.955E+02,2.249E+02,2.236E+02,2.095E+02,2.379E+02,2.342E+02,2.225E+02,2.391E+02,2.076E+02
 ,(2.554E+00)$-$,(2.600E+01)$+$,(6.624E+00)$-$,(5.833E+00)$-$,(3.608E+00)$-$,(8.886E+00)$-$,(7.830E+00)$-$,(4.837E+00)$-$,(1.928E+01)$-$,(3.593E+00)
F22,1.000E+02,1.000E+02,2.012E+02,1.000E+02,1.000E+02,1.000E+02,1.000E+02,1.000E+02,1.000E+02,1.000E+02
 ,(0.000E+00)$\approx$,(1.154E-13)$\approx$,(5.539E+02)$\approx$,(0.000E+00)$\approx$,(2.292E-13)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(8.303E-14)
F23,3.569E+02,3.503E+02,3.814E+02,3.680E+02,3.532E+02,3.868E+02,3.763E+02,3.641E+02,3.769E+02,3.467E+02
 ,(3.216E+00)$-$,(3.275E+00)$-$,(8.612E+00)$-$,(8.167E+00)$-$,(8.438E+00)$-$,(9.786E+00)$-$,(1.116E+01)$-$,(5.939E+00)$-$,(9.196E+00)$-$,(6.419E+00)
F24,4.297E+02,4.261E+02,4.499E+02,4.409E+02,4.190E+02,4.602E+02,4.387E+02,4.388E+02,4.508E+02,4.186E+02
 ,(2.349E+00)$-$,(1.783E+00)$-$,(7.328E+00)$-$,(7.296E+00)$-$,(5.633E+00)$\approx$,(1.324E+01)$-$,(8.561E+00)$-$,(4.882E+00)$-$,(1.204E+01)$-$,(4.897E+00)
F25,3.867E+02,3.865E+02,3.783E+02,3.870E+02,3.867E+02,3.868E+02,3.784E+02,3.869E+02,3.868E+02,3.867E+02
 ,(5.426E-03)$\approx$,(8.147E-01)$+$,(2.912E-02)$+$,(1.913E-01)$-$,(2.754E-02)$-$,(5.720E-02)$-$,(1.137E-01)$+$,(8.992E-02)$-$,(5.742E-02)$-$,(9.805E-03)
F26,9.581E+02,4.380E+02,1.317E+03,1.139E+03,9.057E+02,1.310E+03,8.320E+02,1.096E+03,1.123E+03,8.131E+02
 ,(5.388E+01)$-$,(2.961E+02)$+$,(1.319E+02)$-$,(9.677E+01)$-$,(1.480E+02)$\approx$,(2.460E+02)$-$,(4.837E+02)$-$,(8.144E+01)$-$,(3.016E+02)$-$,(2.377E+02)
F27,5.054E+02,5.027E+02,5.000E+02,5.024E+02,5.179E+02,5.036E+02,5.000E+02,4.990E+02,4.937E+02,5.106E+02
 ,(5.245E+00)$+$,(5.212E+00)$+$,(1.540E-04)$+$,(7.070E+00)$+$,(7.598E+00)$-$,(5.165E+00)$+$,(1.412E-04)$+$,(4.791E+00)$+$,(9.557E+00)$+$,(6.725E+00)
F28,3.107E+02,3.034E+02,4.985E+02,3.331E+02,3.241E+02,3.334E+02,3.275E+02,3.328E+02,3.230E+02,3.103E+02
 ,(3.264E+01)$\approx$,(1.886E+01)$\approx$,(3.953E+00)$-$,(5.154E+01)$-$,(4.443E+01)$\approx$,(5.260E+01)$-$,(4.646E+01)$-$,(5.099E+01)$-$,(4.740E+01)$\approx$,(3.152E+01)
F29,4.315E+02,4.350E+02,3.373E+02,4.222E+02,4.617E+02,4.613E+02,4.025E+02,4.413E+02,4.388E+02,4.263E+02
 ,(5.954E+00)$-$,(1.239E+01)$-$,(5.598E+01)$+$,(3.859E+01)$\approx$,(4.293E+01)$-$,(4.424E+01)$-$,(6.040E+01)$+$,(1.883E+01)$-$,(3.317E+01)$-$,(3.038E+01)
F30,1.998E+03,2.004E+03,2.092E+02,2.097E+03,2.059E+03,2.033E+03,4.792E+02,2.021E+03,2.008E+03,1.985E+03
 ,(7.075E+01)$\approx$,(7.070E+01)$\approx$,(2.384E+00)$+$,(1.180E+02)$-$,(4.010E+01)$-$,(6.830E+01)$-$,(6.847E+02)$+$,(5.096E+01)$-$,(5.898E+01)$\approx$,(3.326E+01)
$-$,11,10,15,20,13,19,17,16,17, 
$+$,10,12,9,3,7,6,7,6,8, 
$\approx$,9,8,6,7,10,5,6,8,5, 
