 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
F1,0.000E+00,9.000E-15,1.421E-15,3.316E-15,3.289E-10,1.421E-15,4.737E-16,5.211E-15,0.000E+00,4.263E-15
 ,(0.000E+00)$+$,(6.965E-15)$-$,(4.336E-15)$\approx$,(6.113E-15)$\approx$,(7.738E-10)$-$,(4.336E-15)$\approx$,(2.594E-15)$+$,(6.965E-15)$\approx$,(0.000E+00)$+$,(6.624E-15)
F2,1.895E-15,3.505E-14,1.042E-14,1.162E-12,1.260E-07,1.042E-14,5.161E+02,7.200E-13,4.838E-09,3.790E-15
 ,(7.211E-15)$\approx$,(3.476E-14)$-$,(1.580E-14)$-$,(3.055E-12)$-$,(2.112E-07)$-$,(1.580E-14)$-$,(2.827E+03)$-$,(2.020E-12)$-$,(2.459E-08)$-$,(9.827E-15)
F3,7.579E-15,4.926E-14,8.602E-13,3.573E+03,3.648E-10,3.032E-14,1.637E-02,6.253E-14,6.184E-04,3.790E-14
 ,(1.965E-14)$+$,(2.468E-14)$\approx$,(3.690E-12)$-$,(5.293E+03)$\approx$,(6.235E-10)$-$,(2.884E-14)$+$,(6.369E-02)$\approx$,(4.314E-14)$-$,(3.387E-03)$-$,(2.725E-14)
F4,5.875E+01,5.661E+01,6.644E-01,4.455E+01,3.056E+00,5.679E+01,1.728E+00,2.866E+01,5.912E+01,3.056E+00
 ,(1.014E+00)$-$,(1.069E+01)$-$,(1.511E+00)$+$,(2.745E+01)$-$,(1.715E+00)$+$,(1.077E+01)$-$,(2.009E+00)$+$,(2.927E+01)$\approx$,(1.695E+00)$-$,(1.715E+00)
F5,1.249E+01,1.227E+00,2.285E+01,2.246E+01,8.557E+00,3.667E+01,3.196E+01,2.106E+01,3.976E+01,7.578E+00
 ,(1.742E+00)$-$,(1.129E+00)$+$,(5.083E+00)$-$,(5.630E+00)$-$,(3.109E+00)$\approx$,(1.023E+01)$-$,(5.952E+00)$-$,(2.946E+00)$-$,(1.983E+01)$-$,(2.306E+00)
F6,4.604E-09,2.738E-08,1.027E-08,1.137E-13,1.137E-13,9.445E-07,1.137E-13,1.137E-13,4.563E-09,3.735E-09
 ,(2.498E-08)$-$,(6.749E-08)$-$,(3.499E-08)$-$,(0.000E+00)$+$,(0.000E+00)$+$,(3.069E-06)$-$,(0.000E+00)$+$,(0.000E+00)$+$,(2.499E-08)$-$,(1.107E-08)
F7,4.329E+01,3.296E+01,5.748E+01,5.070E+01,4.062E+01,6.227E+01,6.153E+01,5.272E+01,5.965E+01,3.982E+01
 ,(2.669E+00)$-$,(6.058E-01)$+$,(5.747E+00)$-$,(4.648E+00)$-$,(4.117E+00)$\approx$,(7.295E+00)$-$,(5.759E+00)$-$,(4.288E+00)$-$,(1.031E+01)$-$,(3.198E+00)
F8,1.310E+01,1.194E+00,2.590E+01,2.259E+01,7.794E+00,3.887E+01,3.532E+01,2.286E+01,5.247E+01,6.926E+00
 ,(1.915E+00)$-$,(1.264E+00)$+$,(7.633E+00)$-$,(4.491E+00)$-$,(2.863E+00)$\approx$,(1.029E+01)$-$,(5.630E+00)$-$,(3.327E+00)$-$,(1.911E+01)$-$,(2.089E+00)
F9,0.000E+00,0.000E+00,3.029E-02,1.514E-02,0.000E+00,0.000E+00,2.984E-03,0.000E+00,0.000E+00,0.000E+00
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(1.153E-01)$\approx$,(8.295E-02)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(1.635E-02)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)
F10,1.375E+03,1.468E+03,3.216E+03,1.247E+03,1.038E+03,2.249E+03,3.119E+03,1.973E+03,2.546E+03,5.939E+02
 ,(1.814E+02)$-$,(2.632E+02)$-$,(4.421E+02)$-$,(3.007E+02)$-$,(4.117E+02)$-$,(6.128E+02)$-$,(6.835E+02)$-$,(3.518E+02)$-$,(6.487E+02)$-$,(2.010E+02)
F11,9.728E+00,2.739E+01,1.459E+01,2.814E+01,8.120E+00,1.612E+01,2.852E+01,1.269E+01,1.349E+01,1.927E+01
 ,(1.740E+01)$+$,(2.878E+01)$\approx$,(5.592E+00)$+$,(2.541E+01)$-$,(1.543E+01)$+$,(1.877E+01)$+$,(2.588E+01)$-$,(1.783E+01)$\approx$,(1.435E+01)$\approx$,(2.498E+01)
