 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
 ,(6.729E-01)$\approx$,(7.932E-01)$-$,(1.501E+00)$-$,(5.413E-01)$-$,(8.011E-01)$-$,(5.402E-01)$-$,(2.256E+00)$-$,(4.008E-01)$-$,(7.106E-01)$-$,(6.762E-01)
F20,2.304E+00,3.588E+00,7.385E+00,1.458E+02,3.646E+00,7.022E+00,1.474E+01,5.787E+00,5.298E+00,7.665E+00
 ,(9.133E-01)$+$,(1.259E+00)$+$,(1.903E+00)$\approx$,(1.416E+02)$-$,(8.233E+00)$+$,(4.049E+00)$\approx$,(3.599E+00)$-$,(2.114E+00)$+$,(1.697E+00)$+$,(3.330E+00)
F21,9.962E+01,5.469E+01,9.400E+01,7.733E+03,2.066E+01,1.400E+02,3.617E+02,1.015E+02,4.058E+01,1.779E+02
 ,(8.274E+01)$+$,(6.400E+01)$+$,(7.693E+01)$+$,(2.400E+04)$-$,(6.055E+01)$+$,(1.125E+02)$\approx$,(1.713E+02)$-$,(7.229E+01)$+$,(5.136E+01)$+$,(9.995E+01)
F22,7.622E+01,2.758E+01,9.878E+01,1.085E+02,1.636E+02,1.960E+02,1.025E+02,6.862E+01,6.398E+01,1.442E+02
 ,(5.714E+01)$+$,(6.156E+00)$+$,(6.610E+01)$\approx$,(7.497E+01)$\approx$,(7.391E+01)$\approx$,(1.306E+02)$-$,(6.141E+01)$\approx$,(5.767E+01)$+$,(6.827E+01)$+$,(5.450E+00)
F23,2.000E+02,2.000E+02,3.140E+02,3.152E+02,3.152E+02,3.152E+02,3.140E+02,3.152E+02,3.152E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$-$,(5.782E-14)$-$,(7.707E-06)$-$,(5.782E-14)$-$,(1.573E-13)$-$,(5.782E-14)$-$,(1.455E-13)$-$,(0.000E+00)
F24,2.000E+02,2.000E+02,2.255E+02,2.249E+02,2.244E+02,2.236E+02,2.242E+02,2.230E+02,2.207E+02,2.000E+02
 ,(6.004E-10)$\approx$,(8.444E-14)$\approx$,(3.431E+00)$-$,(2.447E+00)$-$,(2.324E+00)$-$,(8.835E-01)$-$,(9.597E-01)$-$,(7.671E-01)$-$,(6.986E+00)$-$,(2.146E-10)
F25,2.000E+02,2.000E+02,2.002E+02,2.038E+02,2.086E+02,2.028E+02,2.002E+02,2.029E+02,2.028E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(2.430E-03)$-$,(1.074E+00)$-$,(1.921E+00)$-$,(2.914E-01)$-$,(2.738E-02)$-$,(2.666E-01)$-$,(2.876E-01)$-$,(0.000E+00)
F26,1.001E+02,1.001E+02,1.002E+02,1.001E+02,1.371E+02,1.001E+02,1.002E+02,1.002E+02,1.001E+02,1.434E+02
 ,(1.562E-02)$+$,(2.502E-02)$+$,(2.813E-02)$\approx$,(3.439E-02)$+$,(4.315E+01)$\approx$,(1.959E-02)$+$,(3.865E-02)$\approx$,(2.599E-02)$\approx$,(5.815E-02)$+$,(5.032E+01)
F27,2.033E+02,2.000E+02,4.865E+02,3.190E+02,3.021E+02,3.569E+02,3.600E+02,3.569E+02,4.004E+02,2.098E+02
 ,(1.826E+01)$\approx$,(0.000E+00)$+$,(1.503E+02)$-$,(3.683E+01)$-$,(1.158E+01)$-$,(5.061E+01)$-$,(4.947E+01)$-$,(5.061E+01)$-$,(2.397E-01)$-$,(3.908E+01)
F28,2.000E+02,2.000E+02,3.704E+02,7.657E+02,8.972E+02,8.182E+02,3.825E+02,7.956E+02,8.260E+02,2.000E+02
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(2.056E+00)$-$,(6.146E+01)$-$,(2.503E+01)$-$,(2.605E+01)$-$,(6.518E+00)$-$,(1.740E+01)$-$,(2.681E+01)$-$,(0.000E+00)
F29,2.000E+02,7.161E+02,2.111E+02,7.177E+02,2.582E+02,7.162E+02,2.136E+02,6.734E+02,6.465E+02,2.000E+02
 ,(0.000E+00)$\approx$,(2.564E+00)$-$,(3.118E+00)$-$,(3.883E+01)$-$,(7.806E+01)$-$,(2.220E+00)$-$,(9.651E-01)$-$,(1.756E+02)$-$,(1.843E+02)$-$,(0.000E+00)
F30,2.000E+02,9.258E+02,3.233E+02,1.811E+03,1.747E+03,9.599E+02,3.664E+02,4.827E+02,5.617E+02,2.000E+02
 ,(8.444E-14)$\approx$,(3.513E+02)$-$,(6.869E+01)$-$,(7.022E+02)$-$,(3.984E+02)$-$,(3.380E+02)$-$,(1.070E+02)$-$,(1.042E+02)$-$,(1.856E+02)$-$,(6.581E-05)
$-$,6,12,20,21,18,19,21,17,19, 
$+$,9,12,4,4,4,5,3,5,7, 
$\approx$,15,6,6,5,8,6,6,8,4, 
