 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
F1,7.579E-15,1.960E-11,1.386E-04,5.819E+02,3.571E-10,1.137E-14,3.259E+03,2.982E+03,5.498E+02,3.174E-14
 ,(7.211E-15)$+$,(3.251E-11)$-$,(5.288E-04)$\approx$,(1.075E+03)$-$,(3.199E-10)$-$,(5.782E-15)$+$,(9.097E+03)$-$,(3.293E+03)$-$,(1.314E+03)$-$,(2.033E-14)
F2,0.000E+00,1.137E-14,0.000E+00,0.000E+00,3.272E-10,1.895E-15,0.000E+00,0.000E+00,0.000E+00,0.000E+00
 ,(0.000E+00)$\approx$,(1.416E-14)$-$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(6.497E-10)$-$,(7.211E-15)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)
F3,0.000E+00,7.579E-15,4.358E-14,4.351E-04,3.098E-10,7.579E-15,0.000E+00,0.000E+00,0.000E+00,0.000E+00
 ,(0.000E+00)$\approx$,(1.965E-14)$-$,(2.445E-14)$-$,(8.813E-04)$-$,(4.597E-10)$-$,(1.965E-14)$-$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)
F4,2.653E-13,4.358E-14,2.201E-04,3.979E-14,3.049E-11,1.137E-14,6.863E-03,7.281E-07,7.738E-04,0.000E+00
 ,(1.004E-12)$-$,(3.231E-14)$-$,(1.099E-03)$-$,(3.702E-14)$-$,(4.406E-11)$-$,(2.313E-14)$-$,(2.553E-02)$-$,(3.384E-06)$-$,(1.532E-03)$-$,(0.000E+00)
F5,2.011E+01,2.000E+01,2.038E+01,2.001E+01,2.000E+01,2.000E+01,2.039E+01,2.021E+01,2.016E+01,2.000E+01
 ,(2.225E-02)$-$,(7.123E-04)$+$,(4.902E-02)$-$,(2.379E-02)$-$,(5.649E-04)$\approx$,(1.135E-03)$-$,(5.110E-02)$-$,(5.611E-02)$-$,(8.502E-02)$-$,(6.995E-04)
F6,1.506E-05,2.288E-05,5.665E+00,5.446E-01,7.891E-01,5.432E-01,5.209E-01,1.097E+00,2.377E+00,8.279E-01
 ,(8.250E-05)$+$,(9.533E-05)$\approx$,(4.667E+00)$-$,(6.927E-01)$\approx$,(1.226E+00)$\approx$,(1.001E+00)$\approx$,(1.159E+00)$\approx$,(1.837E+00)$\approx$,(2.285E+00)$-$,(9.037E-01)
F7,0.000E+00,3.790E-15,3.286E-04,2.465E-04,1.972E-11,0.000E+00,0.000E+00,7.579E-15,0.000E+00,0.000E+00
 ,(0.000E+00)$\approx$,(2.076E-14)$\approx$,(1.800E-03)$\approx$,(1.350E-03)$\approx$,(6.250E-11)$-$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(2.884E-14)$\approx$,(0.000E+00)$\approx$,(0.000E+00)
F8,1.023E-13,9.095E-14,3.790E-15,0.000E+00,8.689E+00,0.000E+00,0.000E+00,1.895E-14,2.322E+00,3.283E+00
 ,(3.469E-14)$+$,(4.625E-14)$+$,(2.076E-14)$+$,(0.000E+00)$+$,(2.625E+00)$-$,(0.000E+00)$+$,(0.000E+00)$+$,(4.309E-14)$+$,(2.925E+00)$+$,(1.386E+00)
F9,1.319E+01,7.628E-01,2.696E+01,2.111E+01,7.064E+00,4.088E+01,3.483E+01,2.176E+01,4.503E+01,6.803E+00
 ,(2.321E+00)$-$,(8.540E-01)$+$,(7.257E+00)$-$,(4.897E+00)$-$,(2.618E+00)$\approx$,(1.230E+01)$-$,(5.457E+00)$-$,(3.603E+00)$-$,(2.150E+01)$-$,(2.098E+00)
F10,2.082E-03,2.082E-03,3.083E+01,3.886E-02,4.174E+02,1.773E+00,2.144E+00,6.459E-01,4.374E+00,6.387E+01
 ,(6.353E-03)$+$,(8.381E-03)$+$,(1.176E+01)$+$,(2.366E-02)$+$,(2.330E+02)$-$,(4.040E-01)$+$,(9.488E+00)$+$,(6.092E-01)$\approx$,(2.274E+01)$+$,(1.089E+02)
F11,1.171E+03,1.219E+03,3.040E+03,1.099E+03,6.849E+02,1.946E+03,2.509E+03,1.677E+03,2.101E+03,6.092E+02
 ,(1.922E+02)$-$,(2.345E+02)$-$,(4.000E+02)$-$,(3.750E+02)$-$,(3.326E+02)$\approx$,(4.963E+02)$-$,(6.788E+02)$-$,(3.400E+02)$-$,(5.590E+02)$-$,(2.572E+02)
F12,1.639E-01,9.378E-02,5.227E-01,8.331E-02,1.693E-02,4.196E-02,5.534E-01,2.554E-01,1.553E-01,1.692E-02
 ,(1.771E-02)$-$,(5.496E-02)$-$,(9.219E-02)$-$,(2.843E-02)$-$,(1.506E-02)$\approx$,(1.816E-02)$-$,(1.656E-01)$-$,(6.465E-02)$-$,(1.019E-01)$-$,(1.530E-02)
F13,1.325E-01,1.027E-01,2.110E-01,1.274E-01,4.905E-02,1.271E-01,1.935E-01,1.827E-01,9.899E-02,5.765E-02
 ,(2.147E-02)$-$,(2.671E-02)$-$,(3.586E-02)$-$,(3.223E-02)$-$,(1.172E-02)$+$,(2.515E-02)$-$,(3.356E-02)$-$,(2.387E-02)$-$,(3.031E-02)$-$,(1.630E-02)
F14,2.023E-01,2.342E-01,2.650E-01,1.700E-01,3.312E-01,2.216E-01,1.750E-01,2.058E-01,2.262E-01,2.173E-01
 ,(1.796E-02)$\approx$,(2.409E-02)$-$,(3.039E-02)$-$,(2.209E-02)$+$,(4.970E-02)$-$,(2.802E-02)$\approx$,(2.561E-02)$+$,(2.928E-02)$\approx$,(3.656E-02)$\approx$,(3.024E-02)
F15,2.317E+00,2.017E+00,4.028E+00,2.565E+00,3.014E+00,3.050E+00,4.029E+00,2.381E+00,3.098E+00,2.302E+00
 ,(2.404E-01)$\approx$,(3.777E-01)$+$,(8.097E-01)$-$,(5.117E-01)$-$,(6.550E-01)$-$,(7.261E-01)$-$,(4.781E-01)$-$,(5.504E-01)$\approx$,(8.706E-01)$-$,(3.029E-01)
F16,8.275E+00,9.024E+00,1.067E+01,8.195E+00,1.006E+01,1.020E+01,9.860E+00,9.419E+00,1.001E+01,8.186E+00
 ,(4.005E-01)$\approx$,(6.421E-01)$-$,(4.629E-01)$-$,(7.204E-01)$\approx$,(9.200E-01)$-$,(1.150E+00)$-$,(4.186E-01)$-$,(4.113E-01)$-$,(7.255E-01)$-$,(4.369E-01)
F17,1.450E+02,1.839E+02,2.559E+02,1.287E+04,2.132E+01,3.720E+02,4.516E+03,2.190E+02,1.911E+02,5.354E+02
 ,(7.455E+01)$+$,(9.060E+01)$+$,(1.890E+02)$+$,(4.573E+04)$-$,(3.919E+01)$+$,(1.824E+02)$+$,(8.345E+03)$-$,(1.141E+02)$+$,(1.188E+02)$+$,(2.847E+02)
F18,6.140E+00,5.044E+00,1.144E+01,1.738E+02,5.724E+00,1.924E+01,2.438E+01,9.581E+00,8.581E+00,6.824E+00
 ,(2.329E+00)$\approx$,(2.491E+00)$+$,(5.214E+00)$-$,(6.441E+02)$-$,(2.761E+00)$\approx$,(6.766E+00)$-$,(1.585E+01)$-$,(3.859E+00)$-$,(3.767E+00)$-$,(3.374E+00)
F19,2.457E+00,3.030E+00,9.150E+00,4.145E+00,2.941E+00,2.721E+00,3.804E+00,3.109E+00,2.824E+00,2.170E+00
